"family","genus","species","binomial","type"
"Nymphalidae","Eueides","tales","Eueides_tales",1
"Nymphalidae","Dryadula","phaetusa","Dryadula_phaetusa",1
"Rosaceae","Dryas","iulia","Dryas_iulia",0
"Nymphalidae","Philaethria","dido","Philaethria_dido",1
"Nymphalidae","Philaethria","wernickei","Philaethria_wernickei",1
"Bangiaceae","Dione","moneta","Dione_moneta",1
"Bangiaceae","Dione","juno","Dione_juno",1
"Bangiaceae","Dione","glycera","Dione_glycera",1
"Nymphalidae","Agraulis","vanillae","Agraulis_vanillae",0
"Nymphalidae","Heliconius","charitonius","Heliconius_charitonius",1
"Nymphalidae","Cethosia","hypsea","Cethosia_hypsea",1
"Nymphalidae","Cethosia","penthesilea","Cethosia_penthesilea",1
"Nymphalidae","Cethosia","cyane","Cethosia_cyane",0
"Nymphalidae","Cethosia","biblis","Cethosia_biblis",1
"Nymphalidae","Cethosia","nietneri","Cethosia_nietneri",1
"Nymphalidae","Cethosia","cydippe","Cethosia_cydippe",0
"Nymphalidae","Actinote","rhodope","Actinote_rhodope",0
"Nymphalidae","Actinote","pyrrha","Actinote_pyrrha",0
"Nymphalidae","Actinote","pellenea","Actinote_pellenea",0
"Nymphalidae","Actinote","thalia","Actinote_thalia",0
"Nymphalidae","Actinote","parapheles","Actinote_parapheles",0
"Nymphalidae","Actinote","alalia","Actinote_alalia",1
"Nymphalidae","Mycalesis","gotama","Mycalesis_gotama",1
"Nymphalidae","Actinote","mamita","Actinote_mamita",0
"Nymphalidae","Actinote","genitrix","Actinote_genitrix",1
"Nymphalidae","Acraea","jodutta","Acraea_jodutta",1
"Nymphalidae","Acraea","alciope","Acraea_alciope",0
"Nymphalidae","Acraea","johnstoni","Acraea_johnstoni",1
"Nymphalidae","Acraea","lycoa","Acraea_lycoa",1
"Nymphalidae","Acraea","encedana","Acraea_encedana",1
"Nymphalidae","Acraea","pharsalus","Acraea_pharsalus",0
"Nymphalidae","Acraea","peneleos","Acraea_peneleos",1
"Nymphalidae","Acraea","parrhasia","Acraea_parrhasia",1
"Nymphalidae","Acraea","circeis","Acraea_circeis",1
"Nymphalidae","Acraea","perenna","Acraea_perenna",0
"Nymphalidae","Acraea","igola","Acraea_igola",1
"Nymphalidae","Acraea","vesperalis","Acraea_vesperalis",1
"Nymphalidae","Acraea","bonasia","Acraea_bonasia",0
"Nymphalidae","Acraea","eponina","Acraea_eponina",0
"Nymphalidae","Acraea","oberthueri","Acraea_oberthueri",1
"Nymphalidae","Acraea","acerata","Acraea_acerata",0
"Nymphalidae","Acraea","rahira","Acraea_rahira",0
"Nymphalidae","Acraea","issoria","Acraea_issoria",1
"Nymphalidae","Acraea","andromacha","Acraea_andromacha",0
"Nymphalidae","Acraea","endoscota","Acraea_endoscota",1
"Nymphalidae","Acraea","quirina","Acraea_quirina",0
"Nymphalidae","Acraea","camaena","Acraea_camaena",0
"Nymphalidae","Acraea","egina","Acraea_egina",0
"Nymphalidae","Acraea","abdera","Acraea_abdera",1
"Nymphalidae","Acraea","pseudegina","Acraea_pseudegina",0
"Nymphalidae","Acraea","zetes","Acraea_zetes",0
"Nymphalidae","Acraea","violae","Acraea_violae",0
"Nymphalidae","Clossiana","kriemhild","Clossiana_kriemhild",1
"Nymphalidae","Clossiana","improba","Clossiana_improba",0
"Nymphalidae","Clossiana","frigga","Clossiana_frigga",0
"Nymphalidae","Clossiana","selene","Clossiana_selene",0
"Nymphalidae","Boloria","euphrosyne","Boloria_euphrosyne",1
"Nymphalidae","Clossiana","thore","Clossiana_thore",1
"Nymphalidae","Clossiana","titania","Clossiana_titania",0
"Nymphalidae","Clossiana","freija","Clossiana_freija",0
"Nymphalidae","Clossiana","iphigenia","Clossiana_iphigenia",1
"Nymphalidae","Clossiana","dia","Clossiana_dia",0
"Nymphalidae","Clossiana","astarte","Clossiana_astarte",1
"Nymphalidae","Clossiana","alberta","Clossiana_alberta",1
"Nymphalidae","Boloria","pales","Boloria_pales",0
"Nymphalidae","Boloria","napaea","Boloria_napaea",0
"Nymphalidae","Boloria","aquilonaris","Boloria_aquilonaris",0
"Nymphalidae","Boloria","sifanica","Boloria_sifanica",0
"Nymphalidae","Argynnis","adippe","Argynnis_adippe",1
"Nymphalidae","Speyeria","mormonia","Speyeria_mormonia",1
"Nymphalidae","Argynnis","aglaja","Argynnis_aglaja",1
