Family,Genus,Species,wingspan(mm),wingspan-male(mm),wingspan-female(mm),bodyVolume(mm3),hostType,num.Host.Plant.genera,Source
Geometridae,Glossotrophia,alba,,,,33.4,,-,Zeuss-2016
Geometridae,Glossotrophia,confinaria,,,,26.1,,-,Zeuss-2016
Geometridae,Glossotrophia,rufomixtaria,,,,20.7,,-,Zeuss-2016
Geometridae,Gymnoscelis,rufifasciata,,,,15.4,,-,Zeuss-2016
Geometridae,Gypsochroa,renitidata,,,,15.5,,-,Zeuss-2016
Geometridae,Heliothea,discoidaria,,,,29,,-,Zeuss-2016
Geometridae,Hemistola,chrysoprasaria,,,,65.3,,-,Zeuss-2016
Geometridae,Hemithea,aestivaria,,,,36.6,,-,Zeuss-2016
Geometridae,Heterothera,serraria,,,,20.4,,-,Zeuss-2016
Geometridae,Holoterpna,pruinosata,,,,67.6,,-,Zeuss-2016
Geometridae,Horisme,aemulata,,,,34.1,,-,Zeuss-2016
Geometridae,Horisme,aquata,,,,24.4,,-,Zeuss-2016
Geometridae,Horisme,calligraphata,,,,18.5,,-,Zeuss-2016
Geometridae,Horisme,radicaria,,,,37.6,,-,Zeuss-2016
Geometridae,Horisme,scorteata,,,,45.6,,-,Zeuss-2016
Geometridae,Horisme,tersata,,,,40.5,,-,Zeuss-2016
Geometridae,Horisme,vitalbata,,,,40.2,,-,Zeuss-2016
Geometridae,Hydrelia,flammeolaria,,,,8.9,,-,Zeuss-2016
Geometridae,Hydrelia,sylvata,,,,7.8,,-,Zeuss-2016
Geometridae,Hydria,cervinalis,,,,63.9,,-,Zeuss-2016
Geometridae,Hydria,gudarica,,,,51.9,,-,Zeuss-2016
Geometridae,Hydria,montivagata,,,,43.7,,-,Zeuss-2016
Geometridae,Hydria,undulata,,,,35,,-,Zeuss-2016
Geometridae,Hydriomena,furcata,,,,30.6,,-,Zeuss-2016
